date,deaths
2020-03-25,0
2020-03-26,2
2020-03-27,2
2020-03-28,4
2020-03-29,5
2020-03-30,9
2020-03-31,14
2020-04-01,14
2020-04-02,16
2020-04-03,16
2020-04-04,19
2020-04-05,19
2020-04-06,20
2020-04-07,23
2020-04-08,44
2020-04-09,53
2020-04-10,56
2020-04-11,56
2020-04-12,56
2020-04-13,59
2020-04-14,67
2020-04-15,80
2020-04-16,84
2020-04-17,90
2020-04-18,91
2020-04-19,91
2020-04-20,91
2020-04-21,91
2020-04-22,113
2020-04-23,122
2020-04-24,139
2020-04-25,140
2020-04-26,142
2020-04-27,142
2020-04-28,153
2020-04-29,155
2020-04-30,163
2020-05-01,163
2020-05-02,164
2020-05-03,166
2020-05-04,172
2020-05-05,190
2020-05-06,194
2020-05-07,201
2020-05-08,204
2020-05-09,204
2020-05-10,204
2020-05-11,216
2020-05-12,223
2020-05-13,228
2020-05-14,228
2020-05-15,231
2020-05-16,232
2020-05-17,232
2020-05-18,232
2020-05-19,236
2020-05-20,239
2020-05-21,240
2020-05-22,240
2020-05-23,241
2020-05-24,241
2020-05-25,241
2020-05-26,242
2020-05-27,245
2020-05-28,246
2020-05-29,246
2020-05-30,252
2020-05-31,253
2020-06-01,253
2020-06-02,253
2020-06-03,253
2020-06-04,253
2020-06-05,254
2020-06-06,254
2020-06-07,254
2020-06-08,254
2020-06-09,254
2020-06-10,254
2020-06-11,254
2020-06-12,255
2020-06-13,255
2020-06-14,255
2020-06-15,255
2020-06-16,257
2020-06-17,259
2020-06-18,259
2020-06-19,259
2020-06-20,259
2020-06-21,259
2020-06-22,259
2020-06-23,259
2020-06-24,259
2020-06-25,259
2020-06-26,259
2020-06-27,259
2020-06-28,259
2020-06-29,259
2020-06-30,259
2020-07-01,260
2020-07-02,260
2020-07-03,260
2020-07-04,261
2020-07-05,261
2020-07-06,261
2020-07-07,261
2020-07-08,261
2020-07-09,261
2020-07-10,261
2020-07-11,261
2020-07-12,261
2020-07-13,261
2020-07-14,261
2020-07-15,261
2020-07-16,261
2020-07-17,261
2020-07-18,261
2020-07-19,261
2020-07-20,261
2020-07-21,261
2020-07-22,261
2020-07-23,261
2020-07-24,261
2020-07-25,261
2020-07-26,261
2020-07-27,261
2020-07-28,261
2020-07-29,261
2020-07-30,261
2020-07-31,261
2020-08-01,261
2020-08-02,261
2020-08-03,261
2020-08-04,261
2020-08-05,261
2020-08-06,262
2020-08-07,262
2020-08-08,262
2020-08-09,262
2020-08-10,262
2020-08-11,262
2020-08-12,262
2020-08-13,264
2020-08-14,264
2020-08-15,264
2020-08-16,264
2020-08-17,264
2020-08-18,264
2020-08-19,264
2020-08-20,265
2020-08-21,265
2020-08-22,265
2020-08-23,265
2020-08-24,265
2020-08-25,265
2020-08-26,265
2020-08-27,266
2020-08-28,266
2020-08-29,266
2020-08-30,266
2020-08-31,266
2020-09-01,266
2020-09-02,267
2020-09-03,267
2020-09-04,267
2020-09-05,267
2020-09-06,267
2020-09-07,267
2020-09-08,267
2020-09-09,267
2020-09-10,267
2020-09-11,267
2020-09-12,267
2020-09-13,268
2020-09-14,268
2020-09-15,268
2020-09-16,268
2020-09-17,268
2020-09-18,269
2020-09-19,269
2020-09-20,269
2020-09-21,269
2020-09-22,269
2020-09-23,269
2020-09-24,269
2020-09-25,269
2020-09-26,269
2020-09-27,269
2020-09-28,270
2020-09-29,271
2020-09-30,271
2020-10-01,271
2020-10-02,272
2020-10-03,273
2020-10-04,273
2020-10-05,274
2020-10-06,276
2020-10-07,276
2020-10-08,277
2020-10-09,277
2020-10-10,277
2020-10-11,277
2020-10-12,278
2020-10-13,278
2020-10-14,278
2020-10-15,278
2020-10-16,280
2020-10-17,280
2020-10-18,281
2020-10-19,281
2020-10-20,282
2020-10-21,283
2020-10-22,283
2020-10-23,283
2020-10-24,283
2020-10-25,283
2020-10-26,283
2020-10-27,283
2020-10-28,283
2020-10-29,283
2020-10-30,285
2020-10-31,288
2020-11-01,291
2020-11-02,294
2020-11-03,296
2020-11-04,298
2020-11-05,298
2020-11-06,304
2020-11-07,304
2020-11-08,304
2020-11-09,305
2020-11-10,308
2020-11-11,310
2020-11-12,311
2020-11-13,311
2020-11-14,313
2020-11-15,314
2020-11-16,315
2020-11-17,318
2020-11-18,331
2020-11-19,334
2020-11-20,336
2020-11-21,338
2020-11-22,339
2020-11-23,347
2020-11-24,347
2020-11-25,358
2020-11-26,368
2020-11-27,372
2020-11-28,372
2020-11-29,373
2020-11-30,385
2020-12-01,387
2020-12-02,404
2020-12-03,407
2020-12-04,419
2020-12-05,423
2020-12-06,425
2020-12-07,435
2020-12-08,443
2020-12-09,458
2020-12-10,462
